Using device: cpu
no-correct-actual-per-ridiculously-slow
Initializing with critic LR:  5e-05  actor LR:  1e-08
Initializing with critic LR:  1e-07  actor LR:  5e-08
Last SG, Last State: (  0.06,  -1.40), ( -0.01,  -1.40)  SG Improvement:-0.23688 

Goal, Curr: (-1.16,  1.16), (  0.10,  -1.32)   Error: 2.78
Last SG, Last State: (  0.05,  -1.26), (  0.08,  -1.28)  SG Improvement:-0.04906 

Goal, Curr: (-0.78,  0.90), (  0.32,  -1.40)   Error: 2.55
Last SG, Last State: (  0.32,  -1.40), (  0.32,  -1.40)  SG Improvement:-0.05705 

Goal, Curr: (-1.13,  1.15), (  0.06,  -1.40)   Error: 2.81
Last SG, Last State: (  0.17,  -1.40), (  0.12,  -1.40)  SG Improvement:-0.16500 

Goal, Curr: (-1.05,  0.82), ( -0.85,  -1.40)   Error: 2.23
Last SG, Last State: ( -0.55,  -1.41), ( -0.70,  -1.40)  SG Improvement:-0.30637 

Goal, Curr: (-1.09,  1.23), (  0.03,  -1.40)   Error: 2.85
Last SG, Last State: (  0.14,  -1.40), (  0.10,  -1.40)  SG Improvement:-0.18550 

Goal, Curr: (-1.25,  1.05), (  0.36,  -1.40)   Error: 2.93
Last SG, Last State: (  0.35,  -1.40), (  0.36,  -1.40)  SG Improvement:-0.02887 

Goal, Curr: (-1.12,  1.23), (  0.32,  -1.40)   Error: 3.00
Last SG, Last State: (  0.29,  -1.40), (  0.31,  -1.40)  SG Improvement:-0.03792 

Goal, Curr: (-1.01,  1.22), (  0.06,  -1.40)   Error: 2.83
Last SG, Last State: (  0.17,  -1.40), (  0.13,  -1.40)  SG Improvement:-0.16945 

Goal, Curr: (-1.00,  1.15), (  0.17,  -1.40)   Error: 2.81
Last SG, Last State: (  0.22,  -1.40), (  0.20,  -1.40)  SG Improvement:-0.13672 

Goal, Curr: (-1.09,  0.81), ( -0.34,  -1.40)   Error: 2.33
Last SG, Last State: ( -0.10,  -1.40), ( -0.21,  -1.40)  SG Improvement:-0.20877 

Goal, Curr: (-0.87,  0.94), (  0.19,  -1.40)   Error: 2.56
Last SG, Last State: (  0.21,  -1.40), (  0.21,  -1.40)  SG Improvement:-0.12311 

Goal, Curr: (-1.05,  1.09), (  0.35,  -1.40)   Error: 2.86
Last SG, Last State: (  0.33,  -1.40), (  0.34,  -1.40)  SG Improvement:-0.03349 

Goal, Curr: (-1.13,  0.85), (  0.32,  -1.40)   Error: 2.68
Last SG, Last State: (  0.30,  -1.40), (  0.31,  -1.40)  SG Improvement:-0.02978 

Goal, Curr: (-1.09,  0.88), (  0.35,  -1.40)   Error: 2.70
Last SG, Last State: (  0.33,  -1.40), (  0.34,  -1.40)  SG Improvement:-0.03789 

Goal, Curr: (-1.09,  1.10), ( -0.77,  -1.40)   Error: 2.52
Last SG, Last State: ( -0.48,  -1.40), ( -0.62,  -1.40)  SG Improvement:-0.16951 

Goal, Curr: (-1.11,  1.00), ( -0.01,  -1.17)   Error: 2.44
Last SG, Last State: ( -0.05,  -1.13), ( -0.03,  -1.15)  SG Improvement:-0.03670 

Goal, Curr: (-1.23,  0.91), (  0.35,  -1.40)   Error: 2.80
Last SG, Last State: (  0.32,  -1.40), (  0.34,  -1.40)  SG Improvement:-0.03087 

Goal, Curr: (-1.17,  1.18), ( -0.88,  -1.40)   Error: 2.60
Last SG, Last State: ( -0.58,  -1.41), ( -0.72,  -1.40)  SG Improvement:-0.22212 

Goal, Curr: (-1.22,  0.87), (  0.36,  -1.40)   Error: 2.77
Last SG, Last State: (  0.34,  -1.40), (  0.35,  -1.40)  SG Improvement:-0.02932 

Goal, Curr: (-1.18,  1.13), (  0.34,  -1.40)   Error: 2.95
Last SG, Last State: (  0.33,  -1.40), (  0.34,  -1.40)  SG Improvement:-0.01778 

Goal, Curr: (-0.83,  0.77), (  0.12,  -1.40)   Error: 2.37
Last SG, Last State: (  0.21,  -1.40), (  0.17,  -1.40)  SG Improvement:-0.13659 

Goal, Curr: (-1.05,  0.89), (  0.33,  -1.40)   Error: 2.67
Last SG, Last State: (  0.33,  -1.40), (  0.33,  -1.40)  SG Improvement:-0.05157 

Goal, Curr: (-1.16,  1.03), ( -0.06,  -1.13)   Error: 2.43
Last SG, Last State: ( -0.06,  -1.13), ( -0.05,  -1.13)  SG Improvement:-0.02053 

Goal, Curr: (-1.06,  0.95), ( -0.29,  -0.91)   Error: 2.02
Last SG, Last State: ( -0.28,  -0.92), ( -0.28,  -0.92)  SG Improvement:-0.01606 

Goal, Curr: (-1.09,  0.94), (  0.34,  -1.40)   Error: 2.74
Last SG, Last State: (  0.33,  -1.40), (  0.34,  -1.40)  SG Improvement:-0.01196 

Goal, Curr: (-0.92,  0.86), (  0.20,  -1.40)   Error: 2.52
Last SG, Last State: (  0.25,  -1.40), (  0.23,  -1.40)  SG Improvement:-0.10941 

Goal, Curr: (-0.83,  0.83), (  0.32,  -1.40)   Error: 2.50
Last SG, Last State: (  0.31,  -1.40), (  0.32,  -1.40)  SG Improvement:-0.01650 

Goal, Curr: (-1.03,  0.92), ( -0.21,  -1.40)   Error: 2.46
Last SG, Last State: (  0.00,  -1.40), ( -0.09,  -1.40)  SG Improvement:-0.26396 

Goal, Curr: (-1.13,  1.14), ( -1.09,  -1.40)   Error: 2.53
Last SG, Last State: ( -0.78,  -1.40), ( -0.93,  -1.40)  SG Improvement:-0.16895 

Goal, Curr: (-0.93,  1.17), ( -0.04,  -1.13)   Error: 2.47
Last SG, Last State: ( -0.06,  -1.12), ( -0.05,  -1.12)  SG Improvement:-0.02050 

Goal, Curr: (-0.99,  1.09), (  0.27,  -1.40)   Error: 2.78
Last SG, Last State: (  0.29,  -1.40), (  0.28,  -1.40)  SG Improvement:-0.09048 

Goal, Curr: (-1.04,  1.13), (  0.31,  -1.40)   Error: 2.86
Last SG, Last State: (  0.28,  -1.40), (  0.29,  -1.40)  SG Improvement:-0.04110 

Goal, Curr: (-0.99,  0.84), ( -0.05,  -1.40)   Error: 2.43
Last SG, Last State: (  0.09,  -1.40), (  0.03,  -1.40)  SG Improvement:-0.22317 

Goal, Curr: (-1.17,  1.17), (  0.37,  -1.40)   Error: 3.00
Last SG, Last State: (  0.35,  -1.40), (  0.36,  -1.40)  SG Improvement:-0.02430 

Goal, Curr: (-1.25,  1.11), ( -0.02,  -1.15)   Error: 2.56
Last SG, Last State: ( -0.06,  -1.12), ( -0.04,  -1.13)  SG Improvement:-0.02809 

Goal, Curr: (-0.99,  1.03), ( -0.89,  -1.40)   Error: 2.43
Last SG, Last State: ( -0.59,  -1.41), ( -0.73,  -1.40)  SG Improvement:-0.20188 

Goal, Curr: (-0.98,  0.98), ( -0.30,  -1.40)   Error: 2.47
Last SG, Last State: ( -0.08,  -1.40), ( -0.18,  -1.40)  SG Improvement:-0.22316 

Goal, Curr: (-1.17,  1.24), (  0.03,  -1.40)   Error: 2.90
Last SG, Last State: (  0.15,  -1.40), (  0.10,  -1.40)  SG Improvement:-0.17540 

