Using device: cpu
tamer-critic-gc-4.0-0.5-expl
Log radii:  [ 1.3862944  1.3862944 -0.9777797  1.3862944  1.3862944  1.3862944]
Adjusted log radii:  [1.37629437 1.67629433 1.71222043 2.27629423 1.37629437 1.67629433]
Goal, Curr: (-1.12,  1.11), ( -1.40,  -0.86)   Error: 1.99
Last SG, Last State: ( -3.40,  -2.91), ( -1.40,  -0.89)  SG Improvement:-0.00063 

Goal, Curr: (-1.05,  0.75), ( -1.40,  -0.66)   Error: 1.46
Last SG, Last State: ( -3.40,  -2.75), ( -1.40,  -0.70)  SG Improvement:0.00050 

Goal, Curr: (-1.19,  1.15), ( -1.40,  -0.66)   Error: 1.82
Last SG, Last State: ( -3.40,  -2.76), ( -1.40,  -0.71)  SG Improvement:0.00087 

Goal, Curr: (-0.81,  0.90), ( -1.40,  -0.87)   Error: 1.86
Last SG, Last State: ( -3.40,  -2.92), ( -1.40,  -0.89)  SG Improvement:-0.00049 

Goal, Curr: (-1.08,  1.03), ( -1.40,  -0.61)   Error: 1.67
Last SG, Last State: ( -3.40,  -2.65), ( -1.40,  -0.63)  SG Improvement:-0.00036 

Goal, Curr: (-1.01,  0.92), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00699 

Goal, Curr: (-0.94,  1.02), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00696 

Goal, Curr: (-1.16,  0.81), ( -1.40,  -0.64)   Error: 1.47
Last SG, Last State: ( -3.40,  -2.74), ( -1.40,  -0.69)  SG Improvement:0.00078 

Goal, Curr: (-0.91,  1.04), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00030 

Goal, Curr: (-1.06,  0.88), ( -1.40,  -0.60)   Error: 1.52
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00032 

episode:01200, mean:0.31, std:0.17, median:0.30, success:0.00
Goal, Curr: (-1.10,  1.04), ( -1.40,  -1.14)   Error: 2.19
Last SG, Last State: ( -3.40,  -3.14), ( -1.40,  -1.14)  SG Improvement:-0.00007 

Goal, Curr: (-1.20,  1.12), ( -1.40,  -1.10)   Error: 2.23
Last SG, Last State: ( -3.40,  -3.09), ( -1.40,  -1.09)  SG Improvement:0.00027 

Goal, Curr: (-1.12,  1.07), ( -1.40,  -1.19)   Error: 2.27
Last SG, Last State: ( -3.40,  -3.21), ( -1.40,  -1.20)  SG Improvement:-0.00056 

Goal, Curr: (-1.02,  1.12), ( -1.40,  -1.07)   Error: 2.22
Last SG, Last State: ( -3.40,  -3.05), ( -1.40,  -1.06)  SG Improvement:0.00050 

Goal, Curr: (-0.91,  0.94), ( -1.40,  -1.40)   Error: 2.39
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00378 

Goal, Curr: (-1.00,  0.86), ( -1.40,  -1.14)   Error: 2.04
Last SG, Last State: ( -3.40,  -3.14), ( -1.40,  -1.14)  SG Improvement:-0.00005 

Goal, Curr: (-1.02,  1.15), ( -1.40,  -1.19)   Error: 2.37
Last SG, Last State: ( -3.40,  -3.21), ( -1.40,  -1.20)  SG Improvement:-0.00055 

Goal, Curr: (-0.81,  1.18), ( -1.40,  -1.03)   Error: 2.29
Last SG, Last State: ( -3.40,  -3.00), ( -1.40,  -1.01)  SG Improvement:0.00087 

Goal, Curr: (-0.81,  0.92), ( -1.40,  -1.40)   Error: 2.40
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.00534 

Goal, Curr: (-0.82,  1.21), ( -1.40,  -1.08)   Error: 2.36
Last SG, Last State: ( -3.40,  -3.06), ( -1.40,  -1.07)  SG Improvement:0.00044 

episode:01300, mean:-0.19, std:0.15, median:-0.21, success:0.00
Log radii:  [-1.2691741   0.7341396   1.1860986   0.24625838 -1.3862944   1.0078671 ]
Adjusted log radii:  [1.72082591 1.62413955 1.17609859 0.83625841 0.40370566 0.99786711]
Goal, Curr: (-1.21,  0.90), ( -1.40,  -1.16)   Error: 2.07
Last SG, Last State: ( -3.40,  -3.17), ( -1.40,  -1.16)  SG Improvement:0.00015 

Goal, Curr: (-0.99,  1.10), ( -1.40,  -1.28)   Error: 2.41
Last SG, Last State: ( -3.40,  -3.24), ( -1.40,  -1.26)  SG Improvement:0.00053 

Goal, Curr: (-1.02,  0.90), ( -1.40,  -1.11)   Error: 2.05
Last SG, Last State: ( -3.40,  -3.11), ( -1.40,  -1.11)  SG Improvement:0.00001 

Goal, Curr: (-1.09,  1.23), ( -1.40,  -1.10)   Error: 2.35
Last SG, Last State: ( -3.40,  -3.09), ( -1.40,  -1.10)  SG Improvement:-0.00005 

Goal, Curr: (-1.24,  1.23), ( -1.40,  -0.90)   Error: 2.14
Last SG, Last State: ( -3.40,  -2.88), ( -1.40,  -0.89)  SG Improvement:-0.00002 

Goal, Curr: (-0.95,  0.97), ( -1.40,  -0.85)   Error: 1.88
Last SG, Last State: ( -3.40,  -2.84), ( -1.40,  -0.85)  SG Improvement:0.00001 

Goal, Curr: (-0.80,  0.99), ( -1.40,  -1.29)   Error: 2.36
Last SG, Last State: ( -3.40,  -3.28), ( -1.40,  -1.29)  SG Improvement:0.00060 

