Using device: cpu
gc-4.0-fin3
Last SG, Last State: ( -1.96,  -2.60), (  0.04,  -0.60)  SG Improvement:-0.00087 

Goal, Curr: (-0.75,  0.95), (  1.40,   0.41)   Error: 2.22
Last SG, Last State: ( -0.70,  -1.84), (  1.40,   0.29)  SG Improvement:-1.04915 

Goal, Curr: (-0.83,  1.01), (  0.10,  -0.60)   Error: 1.86
Last SG, Last State: ( -1.90,  -2.60), (  0.10,  -0.60)  SG Improvement:-0.00038 

Goal, Curr: (-1.16,  1.11), (  0.11,  -0.60)   Error: 2.13
Last SG, Last State: ( -1.89,  -2.60), (  0.11,  -0.60)  SG Improvement:-0.00024 

Goal, Curr: (-1.03,  1.08), (  0.73,  -0.39)   Error: 2.29
Last SG, Last State: ( -1.50,  -2.60), (  0.61,  -0.53)  SG Improvement:0.13730 

Goal, Curr: (-1.03,  0.76), (  0.12,  -0.60)   Error: 1.78
Last SG, Last State: ( -1.88,  -2.60), (  0.12,  -0.60)  SG Improvement:-0.02978 

Goal, Curr: (-1.05,  0.86), (  0.49,  -0.60)   Error: 2.13
Last SG, Last State: ( -1.69,  -2.60), (  0.39,  -0.60)  SG Improvement:0.08099 

Goal, Curr: (-1.18,  0.91), (  1.40,   0.56)   Error: 2.60
Last SG, Last State: ( -0.60,  -1.68), (  1.40,   0.44)  SG Improvement:0.00360 

Goal, Curr: (-0.88,  0.87), (  1.40,   1.40)   Error: 2.34
Last SG, Last State: ( -0.60,  -0.60), (  1.40,   1.40)  SG Improvement:0.00006 

Goal, Curr: (-1.22,  0.91), (  0.12,  -0.60)   Error: 2.02
Last SG, Last State: ( -1.88,  -2.60), (  0.12,  -0.60)  SG Improvement:-0.00010 

Goal, Curr: (-1.16,  1.21), (  0.12,  -0.60)   Error: 2.22
Last SG, Last State: ( -1.89,  -2.60), (  0.12,  -0.60)  SG Improvement:-0.00276 

Goal, Curr: (-0.78,  0.82), (  0.06,  -0.60)   Error: 1.65
Last SG, Last State: ( -1.94,  -2.60), (  0.06,  -0.60)  SG Improvement:-0.00063 

Goal, Curr: (-1.22,  0.89), (  0.11,  -0.60)   Error: 2.00
Last SG, Last State: ( -1.89,  -2.60), (  0.11,  -0.60)  SG Improvement:-0.00327 

Goal, Curr: (-0.84,  1.03), (  0.12,  -0.60)   Error: 1.90
Last SG, Last State: ( -1.89,  -2.60), (  0.12,  -0.60)  SG Improvement:-0.00843 

Goal, Curr: (-1.02,  0.98), (  1.15,   0.06)   Error: 2.36
Last SG, Last State: ( -1.11,  -2.24), (  1.02,  -0.09)  SG Improvement:-0.08224 

Goal, Curr: (-0.94,  1.05), (  0.11,  -0.60)   Error: 1.95
Last SG, Last State: ( -1.90,  -2.60), (  0.10,  -0.60)  SG Improvement:-0.00299 

Goal, Curr: (-1.03,  1.03), (  0.08,  -0.60)   Error: 1.97
Last SG, Last State: ( -1.92,  -2.60), (  0.08,  -0.60)  SG Improvement:-0.00050 

Goal, Curr: (-0.81,  0.91), (  0.07,  -0.60)   Error: 1.75
Last SG, Last State: ( -1.93,  -2.60), (  0.07,  -0.60)  SG Improvement:-0.00066 

Goal, Curr: (-1.01,  0.80), (  1.40,   1.28)   Error: 2.46
Last SG, Last State: ( -0.60,  -0.99), (  1.40,   1.15)  SG Improvement:-0.00784 

Goal, Curr: (-1.18,  1.20), (  0.03,  -0.60)   Error: 2.17
Last SG, Last State: ( -1.97,  -2.60), (  0.03,  -0.60)  SG Improvement:-0.00096 

Goal, Curr: (-1.04,  0.99), (  0.04,  -0.60)   Error: 1.93
Last SG, Last State: ( -1.96,  -2.60), (  0.04,  -0.60)  SG Improvement:-0.00079 

Goal, Curr: (-1.00,  0.94), (  0.13,  -0.60)   Error: 1.91
Last SG, Last State: ( -1.87,  -2.60), (  0.13,  -0.61)  SG Improvement:-0.21787 

Goal, Curr: (-1.21,  0.86), (  1.40,   1.40)   Error: 2.67
Last SG, Last State: ( -0.60,  -0.60), (  1.40,   1.40)  SG Improvement:0.00002 

episode:00300, mean:5.78, std:0.49, median:5.77, success:0.00
Goal, Curr: (-0.81,  0.80), (  1.40,   0.77)   Error: 2.21
Last SG, Last State: ( -0.60,  -1.42), (  1.40,   0.67)  SG Improvement:-0.00587 

Goal, Curr: (-0.81,  0.87), (  1.38,  -0.07)   Error: 2.39
Last SG, Last State: ( -0.62,  -2.08), (  1.38,  -0.08)  SG Improvement:-0.00068 

Goal, Curr: (-1.14,  1.18), (  1.40,  -0.13)   Error: 2.86
Last SG, Last State: ( -0.60,  -2.14), (  1.40,  -0.14)  SG Improvement:-0.00139 

Goal, Curr: (-1.22,  0.86), (  1.28,   0.06)   Error: 2.63
Last SG, Last State: ( -0.72,  -1.94), (  1.28,   0.06)  SG Improvement:-0.00003 

